ID,sex,genotype
BH-00355,m,2
BH-00356,f,""
BH-00385,f,2
BH-00391,f,2
BH-00392,f,""
BH-00398,f,2
BH-00405,f,2
BH-00411,f,2
BH-00418,f,""
BH-00419,f,""
BH-00424,m,2
BH-00670,f,U
BH-00681,m,4
BH-00685,m,3
BH-00689,m,3
BH-00696,f,4
BH-00729,f,3
BH-00730,m,U
BH-00732,f,3
BH-00742,m,""
BH-00750,f,1
BH-01555,f,U
BH-01556,f,""
BH-01560,f,3
BH-01567,m,U
BH-01569,m,3
BH-01570,f,U
BH-01571,f,U
BH-01576,f,U
BH-01580,f,4
BH-01582,f,""
BH-01585,m,4
BH-01588,f,4
BH-01594,f,3
BH-01595,m,4
BH-01596,f,U
BH-01598,f,U
BH-01713,f,3
BH-01717,f,3
BH-01719,f,U
BH-01722,f,U
BH-01731,m,U
BH-01737,f,4
BH-01738,f,4
BH-01758,m,""
BH-01789,m,4
BH-01802,m,U
BH-01803,m,4
BH-01809,m,U
BH-01812,f,4
BH-01814,m,4
BH-01819,m,""
BH-01835,m,4
BH-01846,f,U
BH-01850,f,""
BH-01855,m,""
BH-01860,f,4
BH-01867,f,4
BH-01868,f,U
BH-01869,f,4
BH-01882,f,4
BH-01883,f,3
BH-01885,f,U
BH-01889,f,U
BH-01891,f,U
BH-01892,m,4
BH-01893,m,U
BH-01897,m,3
BH-01898,f,U
BH-01899,f,4
BH-01900,f,4
BH-01902,m,U
BH-01903,f,""
BH-01904,f,U
BH-01906,f,4
BH-01922,f,3
BH-51614,f,2
BH-90307,f,3
BH-90910,m,2
BH-90928,m,1
BH-90946,m,U
BH-90970,m,1
BH-90981,m,1
BH-90997,m,U
BH-91013,f,""
BH-91045,m,""
BH-91050,m,""
BH-91053,f,1
BH-91054,m,1
BH-91068,f,1
BH-91117,f,2
BH-91328,f,2
BH-91534,f,1
BH-91549,f,""
BH-91570,m,2
BH-91571,f,""
BH-91585,f,1
BH-91588,m,2
BH-92990,f,2
BH-92993,f,1
BH-92996,f,1
BH-93002,f,U
BH-93003,f,2
BH-93005,f,U
BH-93007,f,2
BH-93015,f,1
BH-93047,f,2
BH-93048,f,2
BH-93066,m,""
BH-93071,f,""
BH-93097,m,2
BH-93109,m,1
BH-93114,m,2
BH-93116,f,2
BH-93132,f,U
BH-93143,f,1
BH-93152,f,1
BH-93170,m,4
BH-93172,f,1
BH-93178,f,2
