name,id,waterbody,month,year,Lat,Long,type,turbidity,SAL,WT
DB1 Pramort,103050101,Barther Fahrwasser,1,2005,54.42,12.926671,Coast,1.35,11,2.9
DB2 Sundische Wiese,103050208,Grabow,1,2005,54.39167,12.838331,Coast,0.75,11.3,2.9
DB6 Barth oe.,103050603,Barther Bodden,1,2005,54.395001,12.750001,Coast,0.52,9.8,2.6
DB10 Bodstedt n.,103051008,Bodstedter Bodden,1,2005,54.395001,12.623331,Coast,0.35,7.9,2.7
DB16 Saal nw.,103051606,Saaler Bodden,1,2005,54.335001,12.448331,Coast,0.2,4.9,3
KB90 Fahrwasser I.Libitz w.,103059085,Kubitzer Bodden,1,2005,54.40167,13.105001,Coast,1.43787878787879,10.1833333333333,3.36666666666667
GB2 I.Vilm s.,105010285,Greifswalder Bodden,1,2005,54.26667,13.516671,Coast,1.53,7.7,2.7
GB3 Daenische Wiek n.,105010306,Daenische Wiek,1,2005,54.15,13.483331,Coast,1.61428571428571,7.7,2.9
GB7 Struck,105010701,Greifswalder Bodden,1,2005,54.20667,13.653331,Coast,1.575,7.65,3
GB19 Zentralbereich,105011907,Greifswalder Bodden,1,2005,54.20667,13.566671,Coast,1.53125,7.8,3.25
S66 Stralsund,109016609,Andershofer Bucht,1,2005,54.28667,13.131671,Coast,1.16875,9.7,3.1
GB10 Ruden s.,111021001,Greifswalder Bodden,1,2005,54.18833,13.775001,Coast,1.29375,7.8,3.6
AW1 Trockenort,111030108,Achterwasser,1,2005,54.01667,13.958331,Coast,0.57,3,0.6
P20 Peenemuende s.,111032085,Peenestrom,1,2005,54.121,13.773,Coast,1.11666666666667,4.85,0.4
P42 Wolgast s.,111034208,Peenestrom,1,2005,54.023358,13.760763,Coast,0.93,4.95,0.6
P48 Lassan,111034806,Peenestrom,1,2005,53.96667,13.891671,Coast,0.6,3.5,0.8
O133 suedl. Greifsw. Oie,111071308,Pommersche Bucht,1,2005,54.20333,13.905002,Coast,3.395,7.7,3.75
RB2 Vitte oe.,112190202,Vitter Bodden,1,2005,54.57,13.131672,Coast,2.2,11.8,2.3
RB3 Bugspitze s.,112190309,Rassower Strom,1,2005,54.55333,13.178332,Coast,2.4125,12.05,5.7
RB6 Wittower Faehre oe.,112280603,Breetzer Bodden,1,2005,54.56333,13.293332,Coast,1.411,11.9,5.9
RB9 Glowe sw.,112390909,Gr. Jasmunder Bodden,1,2005,54.54333,13.426672,Coast,1,8.35,5.1
RB10 Lietzow n.,112391004,Gr. Jasmunder Bodden,1,2005,54.50667,13.490002,Coast,0.98,8.15,5.15
RB15 Buschvitz oe.,112391500,Kl. Jasmunder Bodden,1,2005,54.43167,13.491672,Coast,0.3,5.3,3.3
RB1 Schaprode w.,112400185,Schaproder Bodden,1,2005,54.515,13.125002,Coast,2.39090909090909,12,2.8
DB1 Pramort,103050101,Barther Fahrwasser,2,2005,54.42,12.926671,Coast,1.35,9.4,0.4
DB2 Sundische Wiese,103050208,Grabow,2,2005,54.39167,12.838331,Coast,0.75,8.7,0.2
DB6 Barth oe.,103050603,Barther Bodden,2,2005,54.395001,12.750001,Coast,0.52,7.8,0.3
DB10 Bodstedt n.,103051008,Bodstedter Bodden,2,2005,54.395001,12.623331,Coast,0.35,7.6,0.1
DB16 Saal nw.,103051606,Saaler Bodden,2,2005,54.335001,12.448331,Coast,0.2,4.8,0.1
KB90 Fahrwasser I.Libitz w.,103059085,Kubitzer Bodden,2,2005,54.40167,13.105001,Coast,1.43787878787879,9.7,0.5
GB2 I.Vilm s.,105010285,Greifswalder Bodden,2,2005,54.26667,13.516671,Coast,1.53,7.85,0.05
GB3 Daenische Wiek n.,105010306,Daenische Wiek,2,2005,54.15,13.483331,Coast,1.61428571428571,8.1,-0.1
GB7 Struck,105010701,Greifswalder Bodden,2,2005,54.20667,13.653331,Coast,1.575,8.025,0.15
GB19 Zentralbereich,105011907,Greifswalder Bodden,2,2005,54.20667,13.566671,Coast,1.53125,7.93333333333333,0.383333333333333
S66 Stralsund,109016609,Andershofer Bucht,2,2005,54.28667,13.131671,Coast,1.16875,8.5,-0.25
GB10 Ruden s.,111021001,Greifswalder Bodden,2,2005,54.18833,13.775001,Coast,1.29375,7.975,0.25
AW1 Trockenort,111030108,Achterwasser,2,2005,54.01667,13.958331,Coast,0.57,1.935,2.88181818181818
P20 Peenemuende s.,111032085,Peenestrom,2,2005,54.121,13.773,Coast,1.11666666666667,3.2025,3.045
P42 Wolgast s.,111034208,Peenestrom,2,2005,54.023358,13.760763,Coast,0.93,3.06,3.12
P48 Lassan,111034806,Peenestrom,2,2005,53.96667,13.891671,Coast,0.6,1.6,3.02727272727273
O133 suedl. Greifsw. Oie,111071308,Pommersche Bucht,2,2005,54.20333,13.905002,Coast,3.395,8.25,0.875
RB2 Vitte oe.,112190202,Vitter Bodden,2,2005,54.57,13.131672,Coast,2.2,9.9,0.2
RB3 Bugspitze s.,112190309,Rassower Strom,2,2005,54.55333,13.178332,Coast,2.4125,9.9,0.4
RB6 Wittower Faehre oe.,112280603,Breetzer Bodden,2,2005,54.56333,13.293332,Coast,1.411,9.8,0.3
RB9 Glowe sw.,112390909,Gr. Jasmunder Bodden,2,2005,54.54333,13.426672,Coast,1,8.3,0.2
RB10 Lietzow n.,112391004,Gr. Jasmunder Bodden,2,2005,54.50667,13.490002,Coast,0.98,8.4,0.2
RB15 Buschvitz oe.,112391500,Kl. Jasmunder Bodden,2,2005,54.43167,13.491672,Coast,0.3,5.05454545454545,3.775
RB1 Schaprode w.,112400185,Schaproder Bodden,2,2005,54.515,13.125002,Coast,2.39090909090909,9.1,0.3
DB1 Pramort,103050101,Barther Fahrwasser,3,2005,54.42,12.926671,Coast,1.35,7.2,3.8
DB2 Sundische Wiese,103050208,Grabow,3,2005,54.39167,12.838331,Coast,0.75,6.6,4.1
DB6 Barth oe.,103050603,Barther Bodden,3,2005,54.395001,12.750001,Coast,0.52,5.6,3.8
DB10 Bodstedt n.,103051008,Bodstedter Bodden,3,2005,54.395001,12.623331,Coast,0.35,5.2,3.9
DB16 Saal nw.,103051606,Saaler Bodden,3,2005,54.335001,12.448331,Coast,0.2,4.5,3.6
KB90 Fahrwasser I.Libitz w.,103059085,Kubitzer Bodden,3,2005,54.40167,13.105001,Coast,1.43787878787879,8.1,4.1
GB2 I.Vilm s.,105010285,Greifswalder Bodden,3,2005,54.26667,13.516671,Coast,1.53,7.22,3.06409090909091
GB3 Daenische Wiek n.,105010306,Daenische Wiek,3,2005,54.15,13.483331,Coast,1.61428571428571,7.22777777777778,3.28931818181818
GB7 Struck,105010701,Greifswalder Bodden,3,2005,54.20667,13.653331,Coast,1.575,7.20227272727273,3.25431818181818
GB19 Zentralbereich,105011907,Greifswalder Bodden,3,2005,54.20667,13.566671,Coast,1.53125,7.9,0.3
S66 Stralsund,109016609,Andershofer Bucht,3,2005,54.28667,13.131671,Coast,1.16875,8.14545454545454,3.63954545454545
GB10 Ruden s.,111021001,Greifswalder Bodden,3,2005,54.18833,13.775001,Coast,1.29375,7.06590909090909,3.415
AW1 Trockenort,111030108,Achterwasser,3,2005,54.01667,13.958331,Coast,0.57,2.5,2.6
P20 Peenemuende s.,111032085,Peenestrom,3,2005,54.121,13.773,Coast,1.11666666666667,2.9,3.1
P42 Wolgast s.,111034208,Peenestrom,3,2005,54.023358,13.760763,Coast,0.93,3.1,3.1
