Row_ID;SI_ID;Conny_ID;FIUM_ID;Fish_ID;Date;FloyTag1;FloyTag2;FloyTag3;Floy_No;Former_Floy;Floychange;Pit_Tag;MarkorRecap;Kill;Total_Length_mm;Fork_Length_mm;Standard_Length_mm;Head_Circumference;Dorsal_Circumference;Gape;Weight;Sex;Confirmed_Sex;Rep_Status;Confirmed_Rep_Status;Transmitter_Num;DST_Tag;Pike_Name;Surgeon;BeginOPTime;EndOPTime;Muscle_Biopsy;Head;Scales;Fin_Clip;Fin_Ray;Eyelens;SIMS;Otoliths_Extracted;Valid_Otolith_Sample_Stored;Pool_Round_Name;Photo;Photo_No;Photo_File;Stomach_Cont;Sampler;Liver_Weight;Gonad_Weight;g_per_egg;g_per_egg_calculated;Weight_Without_Guts;Bleeding;Ostseehecht;Gear;Lure_Type;Lure_Length;Lure_Length_mm;Waterbody;Capture_Latitude;Capture_Longitude;Release_Latitude;Release_Longitude;Temperature_C;Conductivity_myS_cm;Salinity_PSU;Merged_Row;Reported_Via_Conny;Notes;EnterDate;Change_Tracker;Zone;Mesh_Size;Sample_Origin
1;1;NA;NA;BH-00390;2019-07-11;NA;NA;NA;0;NA;FALSE;NA;NA;NA;109;NA;NA;NA;NA;NA;6.9;u;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;1;1;0;0;NA;0;TRUE;Round 1;1;NA;BH-00390.JPG;NA;Hansen;NA;NA;NA;NA;NA;NA;NA;E;NA;NA;NA;Barthe;54.319417;12.699083;54.335949;12.686367;NA;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;BODDENHECHT
2;1;NA;NA;BH-00399;2019-07-11;NA;NA;NA;0;NA;FALSE;NA;NA;NA;429;NA;NA;NA;NA;41;544.4;f;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;1;0;0;NA;1;NA;Round 1;1;NA;BH-00399.JPG,BH-00399I.JPG;perch;Hansen;9.3;NA;NA;NA;NA;NA;NA;E;NA;NA;NA;Barthe;54.319417;12.699083;54.335949;12.686367;NA;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;BODDENHECHT
3;1;NA;NA;BH-00394;2019-07-11;NA;NA;NA;0;NA;FALSE;NA;NA;NA;363;NA;NA;NA;NA;40;328.3;m;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;1;0;0;NA;1;NA;Round 1;1;NA;BH-00394.JPG,BH-00394I.JPG;empty;Hansen;8.6;NA;NA;NA;NA;NA;NA;E;NA;NA;NA;Barthe;54.319417;12.699083;54.335949;12.686367;NA;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;BODDENHECHT
4;1;NA;NA;BH-00389;2019-07-11;NA;NA;NA;0;NA;FALSE;NA;NA;NA;107;NA;NA;NA;NA;NA;6.1;u;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;1;1;0;0;NA;0;TRUE;Round 1;1;NA;BH-00389.JPG;NA;Hansen;NA;NA;NA;NA;NA;NA;NA;E;NA;NA;NA;Barthe;54.319417;12.699083;54.335949;12.686367;NA;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;BODDENHECHT
5;1;NA;NA;BH-00402;2019-07-11;NA;NA;NA;0;NA;FALSE;NA;NA;NA;427;NA;NA;NA;NA;48;545.7;m;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;1;0;0;NA;1;NA;Round 1;1;NA;BH-00402.JPG,BH-00402I.JPG;perch;Hansen;10.7;NA;NA;NA;NA;NA;NA;E;NA;NA;NA;Barthe;54.319417;12.699083;54.335949;12.686367;NA;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;BODDENHECHT
6;1;NA;NA;BH-00398;2019-07-11;NA;NA;NA;0;NA;FALSE;NA;NA;NA;761;NA;NA;NA;NA;80;2650;f;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;1;0;0;NA;1;TRUE;Round 1;1;NA;BH-00398.JPG,BH-00398I.JPG;empty;Hansen;47.8;NA;NA;NA;NA;NA;NA;E;NA;NA;NA;Barthe;54.319417;12.699083;54.335949;12.686367;NA;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;BODDENHECHT
7;1;NA;NA;BH-00400;2019-07-11;NA;NA;NA;0;NA;FALSE;NA;NA;NA;336;NA;NA;NA;NA;35;293.5;u;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;1;0;0;NA;1;NA;Round 1;1;NA;BH-00400.JPG,BH-00400I.JPG;roach;Hansen;6;NA;NA;NA;NA;NA;NA;E;NA;NA;NA;Barthe;54.319417;12.699083;54.335949;12.686367;NA;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;BODDENHECHT
8;1;NA;NA;BH-00392;2019-07-11;NA;NA;NA;0;NA;FALSE;NA;NA;NA;930;NA;NA;NA;NA;96;5600;f;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;1;0;0;NA;1;TRUE;Round 1;1;NA;BH-00392.JPG,BH-00392I.JPG;empty;Hansen;119.3;NA;NA;NA;NA;NA;NA;E;NA;NA;NA;Barthe;54.319417;12.699083;54.335949;12.686367;NA;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;BODDENHECHT
9;1;NA;NA;BH-00393;2019-07-11;NA;NA;NA;0;NA;FALSE;NA;NA;NA;386;NA;NA;NA;NA;31;404.7;m;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;1;0;0;NA;1;NA;Round 1;1;NA;BH-00393.JPG,BH-00393I.JPG;empty;Hansen;6.4;NA;NA;NA;NA;NA;NA;E;NA;NA;NA;Barthe;54.319417;12.699083;54.335949;12.686367;NA;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;BODDENHECHT
10;1;NA;NA;BH-00401;2019-07-11;NA;NA;NA;0;NA;FALSE;NA;NA;NA;477;NA;NA;NA;NA;47;814.4;m;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;1;0;0;NA;1;NA;Round 1;1;NA;BH-00401.JPG,BH-00401I.JPG;roach;Hansen;17.6;NA;NA;NA;NA;NA;NA;E;NA;NA;NA;Barthe;54.319417;12.699083;54.335949;12.686367;NA;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;BODDENHECHT
