phenotype,ID,DTW_cluster,waterbody,cluster,ass_prob
Trans-habitat,BH-90997,FW high saline|const,Tributary,Anadromous,0.68
Trans-habitat,BH-90997,FW high saline|const,Tributary,Freshwater,0.255
Trans-habitat,BH-90997,FW high saline|const,Tributary,Brackish 1,0.045
Trans-habitat,BH-90997,FW high saline|const,Tributary,Brackish 2,0.02
FW_resident,BH-00385,FW int saline|const,Tributary,Anadromous,0.285
FW_resident,BH-00385,FW int saline|const,Tributary,Freshwater,0.704
FW_resident,BH-00385,FW int saline|const,Tributary,Brackish 1,0.005
FW_resident,BH-00385,FW int saline|const,Tributary,Brackish 2,0.006
FW_resident,BH-00391,FW int saline|const,Tributary,Anadromous,0.092
FW_resident,BH-00391,FW int saline|const,Tributary,Freshwater,0.878
FW_resident,BH-00391,FW int saline|const,Tributary,Brackish 1,0.015
FW_resident,BH-00391,FW int saline|const,Tributary,Brackish 2,0.015
FW_resident,BH-00398,FW int saline|const,Tributary,Anadromous,0.014
FW_resident,BH-00398,FW int saline|const,Tributary,Freshwater,0.973
FW_resident,BH-00398,FW int saline|const,Tributary,Brackish 1,0.007
FW_resident,BH-00398,FW int saline|const,Tributary,Brackish 2,0.006
FW_resident,BH-00405,FW low saline|shift,Tributary,Anadromous,0.034
FW_resident,BH-00405,FW low saline|shift,Tributary,Freshwater,0.944
FW_resident,BH-00405,FW low saline|shift,Tributary,Brackish 1,0.012
FW_resident,BH-00405,FW low saline|shift,Tributary,Brackish 2,0.01
FW_resident,BH-00411,FW int saline|const,Tributary,Anadromous,0.013
FW_resident,BH-00411,FW int saline|const,Tributary,Freshwater,0.978
FW_resident,BH-00411,FW int saline|const,Tributary,Brackish 1,0.005
FW_resident,BH-00411,FW int saline|const,Tributary,Brackish 2,0.004
Anadromous,BH-51614,FW high saline|shift,Tributary,Anadromous,0.032
Anadromous,BH-51614,FW high saline|shift,Tributary,Freshwater,0.95
Anadromous,BH-51614,FW high saline|shift,Tributary,Brackish 1,0.008
Anadromous,BH-51614,FW high saline|shift,Tributary,Brackish 2,0.011
FW_resident,BH-91585,FW int saline|const,Tributary,Anadromous,0.979
FW_resident,BH-91585,FW int saline|const,Tributary,Freshwater,0.011
FW_resident,BH-91585,FW int saline|const,Tributary,Brackish 1,0.005
FW_resident,BH-91585,FW int saline|const,Tributary,Brackish 2,0.005
FW_resident,BH-91588,FW int saline|const,Tributary,Anadromous,0.241
FW_resident,BH-91588,FW int saline|const,Tributary,Freshwater,0.728
FW_resident,BH-91588,FW int saline|const,Tributary,Brackish 1,0.014
FW_resident,BH-91588,FW int saline|const,Tributary,Brackish 2,0.017
FW_resident,BH-92990,FW int saline|const,Tributary,Anadromous,0.017
FW_resident,BH-92990,FW int saline|const,Tributary,Freshwater,0.972
FW_resident,BH-92990,FW int saline|const,Tributary,Brackish 1,0.006
FW_resident,BH-92990,FW int saline|const,Tributary,Brackish 2,0.005
FW_resident,BH-93007,FW int saline|const,Tributary,Anadromous,0.013
FW_resident,BH-93007,FW int saline|const,Tributary,Freshwater,0.981
FW_resident,BH-93007,FW int saline|const,Tributary,Brackish 1,0.003
FW_resident,BH-93007,FW int saline|const,Tributary,Brackish 2,0.003
FW_resident,BH-93047,FW low saline|shift,Tributary,Anadromous,0.033
FW_resident,BH-93047,FW low saline|shift,Tributary,Freshwater,0.958
FW_resident,BH-93047,FW low saline|shift,Tributary,Brackish 1,0.004
FW_resident,BH-93047,FW low saline|shift,Tributary,Brackish 2,0.005
FW_resident,BH-93048,FW int saline|const,Tributary,Anadromous,0.056
FW_resident,BH-93048,FW int saline|const,Tributary,Freshwater,0.898
FW_resident,BH-93048,FW int saline|const,Tributary,Brackish 1,0.028
FW_resident,BH-93048,FW int saline|const,Tributary,Brackish 2,0.018
FW_resident,BH-93097,FW int saline|const,Tributary,Anadromous,0.011
FW_resident,BH-93097,FW int saline|const,Tributary,Freshwater,0.939
FW_resident,BH-93097,FW int saline|const,Tributary,Brackish 1,0.033
FW_resident,BH-93097,FW int saline|const,Tributary,Brackish 2,0.017
FW_resident,BH-93109,FW int saline|const,Tributary,Anadromous,0.885
FW_resident,BH-93109,FW int saline|const,Tributary,Freshwater,0.098
FW_resident,BH-93109,FW int saline|const,Tributary,Brackish 1,0.008
FW_resident,BH-93109,FW int saline|const,Tributary,Brackish 2,0.009
FW_resident,BH-93114,FW int saline|const,Tributary,Anadromous,0.065
FW_resident,BH-93114,FW int saline|const,Tributary,Freshwater,0.869
FW_resident,BH-93114,FW int saline|const,Tributary,Brackish 1,0.04
FW_resident,BH-93114,FW int saline|const,Tributary,Brackish 2,0.026
FW_resident,BH-93116,FW int saline|const,Tributary,Anadromous,0.029
FW_resident,BH-93116,FW int saline|const,Tributary,Freshwater,0.914
FW_resident,BH-93116,FW int saline|const,Tributary,Brackish 1,0.034
FW_resident,BH-93116,FW int saline|const,Tributary,Brackish 2,0.023
FW_resident,BH-93132,FW int saline|const,Tributary,Anadromous,0.268
FW_resident,BH-93132,FW int saline|const,Tributary,Freshwater,0.692
FW_resident,BH-93132,FW int saline|const,Tributary,Brackish 1,0.018
FW_resident,BH-93132,FW int saline|const,Tributary,Brackish 2,0.023
Anadromous,BH-93178,FW high saline|shift,Tributary,Anadromous,0.053
Anadromous,BH-93178,FW high saline|shift,Tributary,Freshwater,0.934
Anadromous,BH-93178,FW high saline|shift,Tributary,Brackish 1,0.006
Anadromous,BH-93178,FW high saline|shift,Tributary,Brackish 2,0.006
BW-resident,BH-01555,BW high saline|warm,NRB,Anadromous,0.048
BW-resident,BH-01555,BW high saline|warm,NRB,Freshwater,0.012
BW-resident,BH-01555,BW high saline|warm,NRB,Brackish 1,0.595
BW-resident,BH-01555,BW high saline|warm,NRB,Brackish 2,0.345
BW-resident,BH-01560,BW int saline|cold,NRB,Anadromous,0.028
BW-resident,BH-01560,BW int saline|cold,NRB,Freshwater,0.019
BW-resident,BH-01560,BW int saline|cold,NRB,Brackish 1,0.914
BW-resident,BH-01560,BW int saline|cold,NRB,Brackish 2,0.039
Trans-habitat,BH-01567,BW Low saline|shift,NRB,Anadromous,0.143
