ID,cluster1,cluster2,cluster3,DTW_cluster,phenotype,waterbody
BH-90997,0.649,0.064,0.287,FW high saline|const,Trans-habitat,Tributary
BH-00385,0.105,0.008,0.886,FW int saline|const,FW_resident,Tributary
BH-00391,0.768,0.024,0.208,FW int saline|const,FW_resident,Tributary
BH-00398,0.958,0.009,0.033,FW int saline|const,FW_resident,Tributary
BH-00405,0.936,0.016,0.047,FW low saline|shift,FW_resident,Tributary
BH-00411,0.945,0.008,0.047,FW int saline|const,FW_resident,Tributary
BH-51614,0.817,0.022,0.161,FW high saline|shift,Anadromous,Tributary
BH-91585,0.015,0.009,0.976,FW int saline|const,FW_resident,Tributary
BH-91588,0.553,0.024,0.423,FW int saline|const,FW_resident,Tributary
BH-92990,0.938,0.009,0.052,FW int saline|const,FW_resident,Tributary
BH-93007,0.954,0.006,0.04,FW int saline|const,FW_resident,Tributary
BH-93047,0.9,0.008,0.093,FW low saline|shift,FW_resident,Tributary
BH-93048,0.961,0.017,0.022,FW int saline|const,FW_resident,Tributary
BH-93097,0.961,0.023,0.016,FW int saline|const,FW_resident,Tributary
BH-93109,0.059,0.017,0.924,FW int saline|const,FW_resident,Tributary
BH-93114,0.957,0.022,0.02,FW int saline|const,FW_resident,Tributary
BH-93116,0.966,0.022,0.013,FW int saline|const,FW_resident,Tributary
BH-93132,0.851,0.032,0.117,FW int saline|const,FW_resident,Tributary
BH-93178,0.859,0.01,0.131,FW high saline|shift,Anadromous,Tributary
BH-01555,0.037,0.896,0.067,BW high saline|warm,BW-resident,NRB
BH-01560,0.089,0.849,0.062,BW int saline|cold,BW-resident,NRB
BH-01567,0.113,0.742,0.145,BW Low saline|shift,Trans-habitat,NRB
BH-01569,0.338,0.636,0.026,BW Low saline|shift,Trans-habitat,NRB
BH-01570,0.047,0.868,0.084,BW high saline|cold,BW-resident,NRB
BH-01571,0.053,0.685,0.262,BW Low saline|shift,Trans-habitat,NRB
BH-01576,0.031,0.851,0.118,BW int saline|cold,BW-resident,NRB
BH-01580,0.012,0.969,0.018,BW Low saline|shift,Trans-habitat,NRB
BH-01717,0.048,0.934,0.018,BW int saline|cold,BW-resident,NRB
BH-01722,0.036,0.43,0.534,BW high saline|cold,BW-resident,NRB
BH-01846,0.04,0.918,0.043,BW high saline|cold,BW-resident,NRB
BH-00750,0.057,0.01,0.932,BW Low saline|shift,Trans-habitat,GB
BH-01882,0.015,0.959,0.026,BW Low saline|shift,Trans-habitat,GB
BH-01883,0.02,0.967,0.013,BW int saline|cold,BW-resident,GB
BH-01885,0.03,0.913,0.057,BW int saline|cold,BW-resident,GB
BH-01889,0.073,0.872,0.055,BW Low saline|shift,Trans-habitat,GB
BH-01891,0.14,0.422,0.437,BW high saline|warm,BW-resident,GB
BH-01892,0.01,0.98,0.009,BW int saline|cold,BW-resident,GB
