ID,cluster1,cluster2,cluster3,clust,ecotype,area,waterbody,clustval,hardclust
BH-90997,0.649,0.064,0.287,1,Trans-habitat,Tributary,Badendycksgraben,0.649,U
BH-00385,0.105,0.008,0.886,3,FW_resident,Tributary,Barthe,0.886,3
BH-00391,0.768,0.024,0.208,1,FW_resident,Tributary,Barthe,0.768,1
BH-00398,0.958,0.009,0.033,1,FW_resident,Tributary,Barthe,0.958,1
BH-00405,0.936,0.016,0.047,1,FW_resident,Tributary,Barthe,0.936,1
BH-00411,0.945,0.008,0.047,1,FW_resident,Tributary,Barthe,0.945,1
BH-51614,0.817,0.022,0.161,1,Anadromous,Tributary,Barthe,0.817,1
BH-91585,0.015,0.009,0.976,3,FW_resident,Tributary,Barthe,0.976,3
BH-91588,0.553,0.024,0.423,1,FW_resident,Tributary,Barthe,0.553,U
BH-92990,0.938,0.009,0.052,1,FW_resident,Tributary,Barthe,0.938,1
BH-93007,0.954,0.006,0.04,1,FW_resident,Tributary,Barthe,0.954,1
BH-93047,0.9,0.008,0.093,1,FW_resident,Tributary,Barthe,0.9,1
BH-93048,0.961,0.017,0.022,1,FW_resident,Tributary,Barthe,0.961,1
BH-93097,0.961,0.023,0.016,1,Anadromous,Tributary,Barthe,0.961,1
BH-93109,0.059,0.017,0.924,3,FW_resident,Tributary,Barthe,0.924,3
BH-93114,0.957,0.022,0.02,1,FW_resident,Tributary,Barthe,0.957,1
BH-93116,0.966,0.022,0.013,1,Anadromous,Tributary,Barthe,0.966,1
BH-93132,0.851,0.032,0.117,1,FW_resident,Tributary,Barthe,0.851,1
BH-93178,0.859,0.01,0.131,1,Anadromous,Tributary,Barthe,0.859,1
BH-01555,0.037,0.896,0.067,2,BW-resident,NRB,BEG,0.896,2
BH-01560,0.089,0.849,0.062,2,BW-resident,NRB,BEG,0.849,2
BH-01567,0.113,0.742,0.145,2,Trans-habitat,NRB,BEG,0.742,2
BH-01569,0.338,0.636,0.026,2,Trans-habitat,NRB,BEG,0.636,U
BH-01570,0.047,0.868,0.084,2,BW-resident,NRB,BEG,0.868,2
BH-01571,0.053,0.685,0.262,2,Trans-habitat,NRB,BEG,0.685,U
BH-01576,0.031,0.851,0.118,2,BW-resident,NRB,BEG,0.851,2
BH-01580,0.012,0.969,0.018,2,Trans-habitat,NRB,BEG,0.969,2
BH-01717,0.048,0.934,0.018,2,BW-resident,NRB,BEG,0.934,2
BH-01722,0.036,0.43,0.534,3,BW-resident,NRB,BEG,0.534,U
BH-01846,0.04,0.918,0.043,2,BW-resident,NRB,BEG,0.918,2
BH-00750,0.057,0.01,0.932,3,Trans-habitat,GB,GB,0.932,3
BH-01882,0.015,0.959,0.026,2,Trans-habitat,GB,GB,0.959,2
BH-01883,0.02,0.967,0.013,2,BW-resident,GB,GB,0.967,2
BH-01885,0.03,0.913,0.057,2,BW-resident,GB,GB,0.913,2
