ID,age,cohort,capt,TL_mm,weight_g,sex,date,core,lifeyear,year,increment_um,rad_um,total_rad_um,quality,fish_ID,res_mean,Sr_mean,cluster,phenotype,area
BH-00355,2,2017,Peene,552,800,m,2019-07-09,286.1,1,2018,495.6,495.6,840.5,3,BH-00355,-0.931217927670299,0.00124545459976105,FW low saline|shift,FW_resident,Tributary
BH-00355,2,2017,Peene,552,800,m,2019-07-09,286.1,2,2019,237.5,733.1,840.5,3,BH-00355,0.374817593703947,0.000879894102313457,FW low saline|shift,FW_resident,Tributary
BH-00356,7,2012,Peene,815,3000,f,2019-07-09,279.1,1,2013,460.5,460.5,1595.6,3,BH-00356,-0.0434315316991996,0.00110030158730159,FW low saline|cold,FW_resident,Tributary
BH-00356,7,2012,Peene,815,3000,f,2019-07-09,279.1,2,2014,228.8,689.3,1595.6,3,BH-00356,0.0556768530746648,0.000841808080808081,FW low saline|cold,FW_resident,Tributary
BH-00356,7,2012,Peene,815,3000,f,2019-07-09,279.1,3,2015,238,927.3,1595.6,3,BH-00356,0.475444864273124,0.000817560146923783,FW low saline|cold,FW_resident,Tributary
BH-00356,7,2012,Peene,815,3000,f,2019-07-09,279.1,4,2016,233.8,1161.1,1595.6,3,BH-00356,1.30825022934338,0.00100276136363636,FW low saline|cold,FW_resident,Tributary
BH-00356,7,2012,Peene,815,3000,f,2019-07-09,279.1,5,2017,135.4,1296.5,1595.6,3,BH-00356,0.954200099258071,0.00128638383838384,FW low saline|cold,FW_resident,Tributary
BH-00356,7,2012,Peene,815,3000,f,2019-07-09,279.1,6,2018,123.6,1420.1,1595.6,3,BH-00356,1.16925936990171,0.00111932154882155,FW low saline|cold,FW_resident,Tributary
BH-00356,7,2012,Peene,815,3000,f,2019-07-09,279.1,7,2019,127.4,1547.5,1595.6,3,BH-00356,0.410982792478567,0.00119760353535354,FW low saline|cold,FW_resident,Tributary
BH-00385,5,2014,Barthe,765,3260,f,2019-07-10,121.3,1,2015,432.7,432.7,1356.3,3,BH-00385,-0.410634207989129,0.00165329462365591,FW int saline|const,FW_resident,Tributary
BH-00385,5,2014,Barthe,765,3260,f,2019-07-10,121.3,2,2016,239.5,672.2,1356.3,3,BH-00385,-0.37279013779695,0.00209700460829493,FW int saline|const,FW_resident,Tributary
BH-00385,5,2014,Barthe,765,3260,f,2019-07-10,121.3,3,2017,273.8,946,1356.3,3,BH-00385,0.055501821081461,0.00232517921146953,FW int saline|const,FW_resident,Tributary
BH-00385,5,2014,Barthe,765,3260,f,2019-07-10,121.3,4,2018,184.6,1130.6,1356.3,3,BH-00385,-1.01493766453148,0.00238646594982079,FW int saline|const,FW_resident,Tributary
BH-00385,5,2014,Barthe,765,3260,f,2019-07-10,121.3,5,2019,131.5,1262.1,1356.3,3,BH-00385,-0.0447375033850602,0.00211577956989247,FW int saline|const,FW_resident,Tributary
BH-00391,9,2010,Barthe,903,5220,f,2019-07-11,185.1,1,2011,458.7,458.7,1642.8,3,BH-00391,-0.10005748033094,0.00146142340565418,FW int saline|const,FW_resident,Tributary
BH-00391,9,2010,Barthe,903,5220,f,2019-07-11,185.1,2,2012,207.6,666.3,1642.8,3,BH-00391,-0.180699939747141,0.00137914031339031,FW int saline|const,FW_resident,Tributary
BH-00391,9,2010,Barthe,903,5220,f,2019-07-11,185.1,3,2013,183.9,850.2,1642.8,3,BH-00391,-0.384673049729177,0.00216685185185185,FW int saline|const,FW_resident,Tributary
BH-00391,9,2010,Barthe,903,5220,f,2019-07-11,185.1,4,2014,196.5,1046.7,1642.8,3,BH-00391,-0.852514368216926,0.0021496916971917,FW int saline|const,FW_resident,Tributary
BH-00391,9,2010,Barthe,903,5220,f,2019-07-11,185.1,5,2015,156.1,1202.8,1642.8,3,BH-00391,-0.271203278395363,0.0020735811965812,FW int saline|const,FW_resident,Tributary
BH-00391,9,2010,Barthe,903,5220,f,2019-07-11,185.1,6,2016,113.8,1316.6,1642.8,3,BH-00391,-0.0844296499364426,0.0020727094017094,FW int saline|const,FW_resident,Tributary
BH-00391,9,2010,Barthe,903,5220,f,2019-07-11,185.1,7,2017,92,1408.6,1642.8,3,BH-00391,-0.010556081601058,0.00217636752136752,FW int saline|const,FW_resident,Tributary
BH-00391,9,2010,Barthe,903,5220,f,2019-07-11,185.1,8,2018,105.7,1514.3,1642.8,3,BH-00391,0.562858407234408,0.00215334401709402,FW int saline|const,FW_resident,Tributary
BH-00391,9,2010,Barthe,903,5220,f,2019-07-11,185.1,9,2019,80.7,1595,1642.8,3,BH-00391,1.4128116666756,0.00238730056980057,FW int saline|const,FW_resident,Tributary
BH-00392,7,2012,Barthe,930,5600,f,2019-07-11,287.8,1,2013,565,565,1664.5,3,BH-00392,0.775138042051766,0.00159535014245014,FW int saline|const,FW_resident,Tributary
BH-00392,7,2012,Barthe,930,5600,f,2019-07-11,287.8,2,2014,189.1,754.1,1664.5,3,BH-00392,-0.211877542459835,0.00193389838556505,FW int saline|const,FW_resident,Tributary
BH-00392,7,2012,Barthe,930,5600,f,2019-07-11,287.8,3,2015,229.4,983.5,1664.5,3,BH-00392,-0.634412991860506,0.00203094017094017,FW int saline|const,FW_resident,Tributary
BH-00392,7,2012,Barthe,930,5600,f,2019-07-11,287.8,4,2016,215.7,1199.2,1664.5,3,BH-00392,-0.137493222338375,0.00222969230769231,FW int saline|const,FW_resident,Tributary
BH-00392,7,2012,Barthe,930,5600,f,2019-07-11,287.8,5,2017,140.3,1339.5,1664.5,3,BH-00392,0.39824250499287,0.00240204415954416,FW int saline|const,FW_resident,Tributary
BH-00392,7,2012,Barthe,930,5600,f,2019-07-11,287.8,6,2018,132.3,1471.8,1664.5,3,BH-00392,0.763408110864294,0.00307778632478633,FW int saline|const,FW_resident,Tributary
BH-00392,7,2012,Barthe,930,5600,f,2019-07-11,287.8,7,2019,110,1581.8,1664.5,3,BH-00392,0.604406319374942,0.00282477564102564,FW int saline|const,FW_resident,Tributary
