ID,cluster1,cluster2,cluster3,cluster4,waterbody,Lat,Long,Sample_Origin
BH-90997,0.68,0.255,0.045,0.02,Badendycksgraben,,,BODDENHECHT
BH-00373,0.075,0.846,0.038,0.041,Barthe,,,BODDENHECHT
BH-00374,0.023,0.966,0.005,0.005,Barthe,,,BODDENHECHT
BH-00375,0.019,0.965,0.009,0.007,Barthe,,,BODDENHECHT
BH-00376,0.006,0.988,0.003,0.003,Barthe,,,BODDENHECHT
BH-00377,0.013,0.964,0.013,0.01,Barthe,,,BODDENHECHT
BH-00378,0.577,0.409,0.006,0.008,Barthe,,,BODDENHECHT
BH-00379,0.256,0.717,0.014,0.013,Barthe,,,BODDENHECHT
BH-00381,0.079,0.901,0.009,0.011,Barthe,,,BODDENHECHT
BH-00382,0.022,0.969,0.005,0.005,Barthe,,,BODDENHECHT
BH-00383,0.01,0.982,0.004,0.004,Barthe,,,BODDENHECHT
BH-00384,0.045,0.943,0.007,0.005,Barthe,,,BODDENHECHT
BH-00385,0.285,0.704,0.005,0.006,Barthe,,,BODDENHECHT
BH-00391,0.092,0.878,0.015,0.015,Barthe,54.319417,12.699083,BODDENHECHT
BH-00394,0.091,0.872,0.018,0.019,Barthe,54.319417,12.699083,BODDENHECHT
BH-00395,0.013,0.931,0.038,0.018,Barthe,54.319417,12.699083,BODDENHECHT
BH-00397,0.025,0.966,0.005,0.005,Barthe,54.319417,12.699083,BODDENHECHT
BH-00398,0.014,0.973,0.007,0.006,Barthe,54.319417,12.699083,BODDENHECHT
BH-00399,0.688,0.285,0.012,0.015,Barthe,54.319417,12.699083,BODDENHECHT
BH-00400,0.01,0.939,0.035,0.016,Barthe,54.319417,12.699083,BODDENHECHT
BH-00401,0.033,0.954,0.007,0.006,Barthe,54.319417,12.699083,BODDENHECHT
BH-00402,0.021,0.968,0.006,0.006,Barthe,54.319417,12.699083,BODDENHECHT
BH-00403,0.01,0.981,0.005,0.004,Barthe,54.319417,12.699083,BODDENHECHT
BH-00405,0.034,0.944,0.012,0.01,Barthe,54.319417,12.699083,BODDENHECHT
BH-00406,0.01,0.983,0.003,0.003,Barthe,54.33804,12.685291,BODDENHECHT
BH-00407,0.01,0.97,0.012,0.008,Barthe,54.33804,12.685291,BODDENHECHT
BH-00408,0.019,0.975,0.003,0.003,Barthe,54.33804,12.685291,BODDENHECHT
BH-00409,0.023,0.953,0.016,0.009,Barthe,54.33804,12.685291,BODDENHECHT
BH-00410,0.011,0.983,0.003,0.003,Barthe,54.33804,12.685291,BODDENHECHT
BH-00411,0.013,0.978,0.005,0.004,Barthe,54.33804,12.685291,BODDENHECHT
BH-00412,0.017,0.972,0.006,0.005,Barthe,54.33804,12.685291,BODDENHECHT
BH-00722,0.045,0.945,0.005,0.005,Barthe,,,BODDENHECHT
BH-00723,0.302,0.678,0.01,0.01,Barthe,,,BODDENHECHT
BH-00724,0.011,0.98,0.005,0.004,Barthe,,,BODDENHECHT
BH-00725,0.044,0.932,0.013,0.011,Barthe,,,BODDENHECHT
BH-00726,0.806,0.179,0.007,0.008,Barthe,,,BODDENHECHT
BH-00727,0.009,0.965,0.016,0.01,Barthe,,,BODDENHECHT
BH-00728,0.27,0.699,0.012,0.018,Barthe,,,BODDENHECHT
BH-51614,0.032,0.95,0.008,0.011,BAT,54.37208,12.67767,BODDENHECHT
BH-51614,0.032,0.95,0.008,0.011,Barthe,54.36602,12.68762,BODDENHECHT
BH-90002,0.017,0.01,0.065,0.909,BEG,,,BODDENHECHT
BH-90052,0.02,0.961,0.009,0.01,Barthe,,,BODDENHECHT
BH-90053,0.025,0.963,0.006,0.006,Barthe,,,BODDENHECHT
BH-90093,0.016,0.961,0.013,0.01,Barthe,,,BODDENHECHT
BH-90306,0.064,0.927,0.004,0.004,Barthe,54.29974,12.72818,BODDENHECHT
BH-90306,0.064,0.927,0.004,0.004,BAT,,,BODDENHECHT
BH-90314,0.248,0.713,0.018,0.021,Barthe,54.29974,12.72818,BODDENHECHT
BH-90322,0.512,0.458,0.014,0.015,Barthe,54.29974,12.72818,BODDENHECHT
BH-90330,0.017,0.965,0.01,0.009,Barthe,54.29974,12.72818,BODDENHECHT
BH-90351,0.331,0.641,0.012,0.016,Barthe,54.29974,12.72818,BODDENHECHT
BH-90353,0.023,0.963,0.007,0.007,Barthe,54.29974,12.72818,BODDENHECHT
BH-90356,0.032,0.939,0.016,0.013,Barthe,54.29974,12.72818,BODDENHECHT
BH-90364,0.04,0.933,0.016,0.012,Barthe,54.29974,12.72818,BODDENHECHT
BH-90366,0.018,0.961,0.012,0.008,Barthe,54.29974,12.72818,BODDENHECHT
BH-90381,0.038,0.953,0.005,0.005,Barthe,54.29974,12.72818,BODDENHECHT
BH-90392,0.039,0.899,0.037,0.025,Barthe,54.29974,12.72818,BODDENHECHT
BH-90394,0.069,0.904,0.015,0.011,Barthe,54.29974,12.72818,BODDENHECHT
BH-91091,0.105,0.884,0.005,0.005,Barthe,,,BODDENHECHT
BH-91091,0.105,0.884,0.005,0.005,Barthe,54.3274,12.6931,BODDENHECHT
BH-91101,0.039,0.932,0.015,0.014,Barthe,,,BODDENHECHT
BH-91102,0.025,0.952,0.012,0.011,Barthe,,,BODDENHECHT
BH-91107,0.147,0.832,0.01,0.011,Barthe,,,BODDENHECHT
BH-91110,0.026,0.951,0.012,0.011,Barthe,,,BODDENHECHT
BH-91115,0.012,0.979,0.004,0.004,Barthe,,,BODDENHECHT
BH-91122,0.011,0.978,0.006,0.005,Barthe,,,BODDENHECHT
BH-91123,0.018,0.971,0.006,0.005,Barthe,,,BODDENHECHT
BH-91124,0.015,0.979,0.004,0.003,Barthe,,,BODDENHECHT
BH-91127,0.16,0.808,0.014,0.018,Barthe,,,BODDENHECHT
BH-91127,0.16,0.808,0.014,0.018,Barthe,54.3238,12.6956,BODDENHECHT
BH-91128,0.169,0.775,0.028,0.028,Barthe,,,BODDENHECHT
BH-91129,0.016,0.964,0.012,0.007,Barthe,,,BODDENHECHT
BH-91134,0.009,0.984,0.004,0.003,Barthe,,,BODDENHECHT
BH-91135,0.017,0.967,0.008,0.008,Barthe,,,BODDENHECHT
BH-91137,0.647,0.329,0.011,0.013,Barthe,,,BODDENHECHT
BH-91138,0.502,0.47,0.012,0.016,Barthe,,,BODDENHECHT
BH-91143,0.033,0.95,0.009,0.009,Barthe,,,BODDENHECHT
BH-91145,0.042,0.931,0.014,0.013,Barthe,,,BODDENHECHT
BH-91145,0.042,0.931,0.014,0.013,Barthe,54.33628,12.68659,BODDENHECHT
BH-91146,0.008,0.006,0.132,0.854,Barthe,,,BODDENHECHT
BH-91150,0.032,0.954,0.007,0.007,Barthe,,,BODDENHECHT
BH-91155,0.101,0.867,0.012,0.02,Barthe,,,BODDENHECHT
BH-91176,0.902,0.076,0.012,0.011,Barthe,,,BODDENHECHT
BH-91178,0.174,0.774,0.028,0.025,Barthe,,,BODDENHECHT
BH-91178,0.174,0.774,0.028,0.025,Barthe,54.36592,12.68755,BODDENHECHT
BH-91178,0.174,0.774,0.028,0.025,BAT,54.3768,12.6855,BODDENHECHT
BH-91183,0.189,0.788,0.01,0.013,Barthe,,,BODDENHECHT
BH-91187,0.016,0.978,0.003,0.003,Barthe,,,BODDENHECHT
BH-91514,0.028,0.947,0.014,0.012,Barthe,54.36592,12.68755,BODDENHECHT
BH-91525,0.023,0.969,0.004,0.003,Barthe,54.36592,12.68755,BODDENHECHT
BH-91550,0.036,0.952,0.007,0.006,Barthe,54.36592,12.68755,BODDENHECHT
